SP,São Pedro,-47.91443,-22.54954
SP,Luís Antônio,-47.70442,-21.55554
SP,Sebastianópolis do Sul,-49.92144,-20.65553
SP,Getulina,-49.92944,-21.79954
SP,Monte Alegre do Sul,-46.68142,-22.68255
SP,Pitangueiras,-48.22242,-21.00954
SP,Ocauçu,-49.92344,-22.43954
SP,Cachoeira Paulista,-45.00941,-22.66555
SP,Santa Adélia,-48.80443,-21.24354
SP,Itirapuã,-47.21942,-20.64154
SP,Arandu,-49.05444,-23.13454
SP,Valparaíso,-50.86844,-21.22853
SP,Guará,-47.82442,-20.42854
SP,Balbinos,-49.35744,-21.90054
SP,Itanhaém,-46.78942,-24.18355
SP,Buritizal,-47.70842,-20.19154
SP,Presidente Prudente,-51.38945,-22.12653
SP,Cabrália Paulista,-49.33844,-22.45654
SP,Santa Cruz das Palmeiras,-47.24942,-21.82754
SP,Sertãozinho,-47.99042,-21.13854
SP,Nova Aliança,-49.49643,-21.01653
SP,Santa Albertina,-50.72844,-20.03253
SP,Elisiário,-49.11243,-21.16654
SP,Itapeva,-48.87644,-23.98254
SP,Pongaí,-49.36743,-21.73654
SP,Pinhalzinho,-46.59142,-22.77955
SP,Presidente Epitácio,-52.11645,-21.76353
SP,Tabatinga,-48.68843,-21.71754
SP,Flórida Paulista,-51.17445,-21.61553
SP,Nova Guataporanga,-51.64445,-21.33453
SP,Itirapina,-47.82343,-22.25354
SP,Paulicéia,-51.83145,-21.31853
SP,Santa Mercedes,-51.75545,-21.35153
SP,Lavrinhas,-44.9024,-22.57155
SP,Avanhandava,-49.95044,-21.46153
SP,Valentim Gentil,-50.08844,-20.42253
SP,Dumont,-47.97342,-21.23654
SP,Barretos,-48.56843,-20.55754
SP,Cubatão,-46.42542,-23.89555
SP,Jandira,-46.90342,-23.52855
SP,Magda,-50.22644,-20.64453
SP,Rincão,-48.07143,-21.58754
SP,Santa Isabel,-46.22142,-23.31655
SP,Clementina,-50.44944,-21.56053
SP,Pilar do Sul,-47.71643,-23.81355
SP,Tarabai,-51.55945,-22.30353
SP,São Simão,-47.55142,-21.47954
SP,Salto de Pirapora,-47.57343,-23.64955
SP,Uru,-49.28143,-21.78454
SP,Batatais,-47.58542,-20.89154
SP,Guaratinguetá,-45.19341,-22.81655
SP,Zacarias,-50.05144,-21.05253
SP,Águas de São Pedro,-47.87643,-22.59954
SP,Lourdes,-50.22444,-20.96753
SP,Barra do Chapéu,-49.02544,-24.47355
SP,Borborema,-49.07443,-21.62054
SP,Marília,-49.94644,-22.21454
SP,Analândia,-47.66342,-22.12654
SP,Arujá,-46.32142,-23.39655
SP,Meridiano,-50.17344,-20.35953
SP,Altinópolis,-47.37442,-21.02654
SP,Itu,-47.29942,-23.26455
SP,Joanópolis,-46.27642,-22.93055
SP,Pedro de Toledo,-47.23343,-24.27555
SP,Nuporanga,-47.74942,-20.73054
SP,Capela do Alto,-47.73543,-23.47155
SP,Pedreira,-46.90142,-22.74255
SP,Avaí,-49.33344,-22.14754
SP,Cafelândia,-49.61044,-21.80354
SP,Vista Alegre do Alto,-48.62943,-21.17154
SP,Ribeirão Pires,-46.41342,-23.71155
SP,Canitar,-49.78344,-23.00654
SP,Novo Horizonte,-49.22143,-21.46854
SP,Itapuí,-48.71943,-22.23354
SP,Guaiçara,-49.79944,-21.62254
SP,Bauru,-49.06143,-22.31554
SP,Adolfo,-49.64444,-21.23553
SP,Tuiuti,-46.69442,-22.81655
SP,Tejupá,-49.37644,-23.34354
SP,General Salgado,-50.36144,-20.64853
SP,Osvaldo Cruz,-50.89045,-21.79753
SP,Guarujá,-46.25642,-23.99355
SP,Nova Independência,-51.49045,-21.10453
SP,Engenheiro Coelho,-47.21542,-22.48854
SP,São João das Duas Pontes,-50.37844,-20.38953
SP,Pindamonhangaba,-45.46241,-22.92455
SP,Penápolis,-50.07844,-21.42053
SP,Ilhabela,-45.35841,-23.77855
SP,Guapiara,-48.53344,-24.18555
SP,Guareí,-48.18443,-23.37354
SP,Suzano,-46.31142,-23.54355
SP,Boracéia,-48.77943,-22.19354
SP,Birigui,-50.34044,-21.28953
SP,Coroados,-50.28144,-21.35253
SP,Macaubal,-49.96444,-20.80653
SP,Miguelópolis,-48.03242,-20.17954
SP,Canas,-45.05541,-22.70455
SP,Igarapava,-47.74742,-20.03854
SP,Turmalina,-50.47644,-20.05253
SP,Nantes,-51.23745,-22.62153
SP,Sabino,-49.57844,-21.46054
SP,Alvinlândia,-49.76344,-22.44454
SP,Ribeirão Bonito,-48.17643,-22.06754
SP,Presidente Bernardes,-51.55345,-22.00653
SP,Itaporanga,-49.49044,-23.70854
SP,Paranapanema,-48.72344,-23.38954
SP,Santa Bárbara d&apos,Oeste,-47.41442
SP,Guaíra,-48.31142,-20.31854
SP,Franca,-47.40142,-20.53954
SP,Avaré,-48.92644,-23.09954
SP,Ourinhos,-49.87144,-22.97954
SP,Potirendaba,-49.37743,-21.04353
SP,Pedra Bela,-46.44342,-22.79355
SP,Álvaro de Carvalho,-49.71944,-22.08954
SP,Roseira,-45.30541,-22.89855
SP,Itaquaquecetuba,-46.34842,-23.48655
SP,Itapevi,-46.93442,-23.54955
SP,Bernardino de Campos,-49.47444,-23.01354
SP,Mombuca,-47.56643,-22.92955
SP,Itajobi,-49.05443,-21.31854
SP,Cosmorama,-49.77843,-20.47853
SP,Santa Clara d&apos,Oeste,-50.95444
SP,Paulínia,-47.15442,-22.76155
SP,Diadema,-46.62342,-23.68655
SP,Presidente Alves,-49.43844,-22.10054
SP,Embaúba,-48.83643,-20.98354
SP,Águas de Lindóia,-46.63342,-22.47655
SP,Itariri,-47.17443,-24.28955
SP,Serra Azul,-47.56642,-21.31154
SP,Aparecida,-45.23041,-22.84755
SP,Álvares Machado,-51.47245,-22.07953
SP,Ibaté,-47.99743,-21.95554
SP,Iporanga,-48.59344,-24.58655
SP,Tambaú,-47.27442,-21.70554
SP,Guarani d&apos,Oeste,-50.33944
SP,Jundiaí,-46.88442,-23.18655
SP,Riversul,-49.42944,-23.82854
SP,Iepê,-51.07645,-22.66153
SP,Jacareí,-45.96642,-23.30555
SP,Jaci,-49.57043,-20.88253
SP,Holambra,-47.05642,-22.63355
SP,Auriflama,-50.55544,-20.68653
SP,Lagoinha,-45.19041,-23.09155
SP,Bocaina,-48.51843,-22.13654
SP,Américo Brasiliense,-48.10243,-21.72454
SP,Queiroz,-50.24044,-21.79953
SP,Guararema,-46.03542,-23.41555
SP,Patrocínio Paulista,-47.28242,-20.63954
SP,Mirassol,-49.52143,-20.81953
SP,Barra do Turvo,-48.50544,-24.75655
SP,Andradina,-51.37945,-20.89653
SP,Rifaina,-47.42142,-20.08154
SP,Barueri,-46.87642,-23.51155
SP,Santa Rita d&apos,Oeste,-50.83344
SP,Tremembé,-45.54941,-22.95855
SP,Piracaia,-46.35842,-23.05455
SP,Mendonça,-49.58143,-21.16753
SP,Sete Barras,-47.92643,-24.38855
SP,Dourado,-48.31843,-22.10054
SP,Natividade da Serra,-45.44241,-23.37655
SP,Caieiras,-46.74142,-23.36455
SP,Pedregulho,-47.47742,-20.25754
SP,Cajuru,-47.30442,-21.27554
SP,São Roque,-47.13542,-23.52955
SP,João Ramalho,-50.76845,-22.25053
SP,Ipeúna,-47.71943,-22.43654
SP,Dois Córregos,-48.38043,-22.36654
SP,Santa Salete,-50.68844,-20.24553
SP,Ribeira,-49.00944,-24.65755
SP,Pariquera-Açu,-47.88143,-24.71555
SP,Sales Oliveira,-47.83842,-20.77254
SP,Cerqueira César,-49.16644,-23.03654
SP,Potim,-45.25141,-22.84355
SP,Mineiros do Tietê,-48.45143,-22.40954
SP,Quadra,-48.05543,-23.29955
SP,Leme,-47.39042,-22.18654
SP,São Pedro do Turvo,-49.74044,-22.74754
SP,Tupi Paulista,-51.57145,-21.38153
SP,Cândido Mota,-50.38745,-22.74654
SP,Trabiju,-48.33643,-22.04254
SP,Cordeirópolis,-47.45742,-22.48254
SP,Tapiraí,-47.50743,-23.96455
SP,Gabriel Monteiro,-50.55544,-21.53153
SP,Garça,-49.65644,-22.21154
SP,Assis,-50.41244,-22.66254
SP,Pirapozinho,-51.50045,-22.27553
SP,Nhandeara,-50.03844,-20.69453
SP,Tupã,-50.51444,-21.93553
SP,Nipoã,-49.77844,-20.91353
SP,Caiuá,-51.99845,-21.83253
SP,Socorro,-46.52942,-22.59155
SP,Itapirapuã Paulista,-49.16844,-24.57455
SP,Dolcinópolis,-50.51344,-20.12353
SP,Araraquara,-48.17643,-21.79454
SP,Monte Alto,-48.49643,-21.26154
SP,Herculândia,-50.38544,-22.00454
SP,Iracemápolis,-47.51942,-22.58154
