RS,Porto Xavier,-55.1385,-27.90653,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4315107
PE,Primavera,-35.35431,-8.33149,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2611408
MA,Mata Roma,-43.11136,-3.62546,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2106409
PA,Livramento,-36.94632,-7.37449,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2508505
PI,Lagoa do Piauí,-42.64336,-5.41547,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2205581
MG,Poço Fundo,-45.96541,-21.78155,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3151701
RR,Bonfim,-59.83347,3.35958,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1400159
GO,Americano do Brasil,-49.98342,-16.25552,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5200852
RS,Dois Irmãos,-51.08548,-29.58055,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4306403
MT,Ribeirãozinho,-52.69244,-16.48551,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5107198
TO,Santa Tereza do Tocantins,-47.8084,-10.28249,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1719004
SP,Populina,-50.53844,-19.95453,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3540408
PA,Cruzeiro do Oeste,-53.07347,-23.78553,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4106605
MG,Alpinópolis,-46.38841,-20.86454,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3101904
PI,Francisco Macedo,-40.78835,-7.33148,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2204154
SE,Siriri,-37.11332,-10.60451,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2807204
MG,Tombos,-42.02338,-20.90555,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3169208
GO,Santa Isabel,-49.42742,-15.29851,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5219357
MG,Ipatinga,-42.53738,-19.46854,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3131307
AL,Porto Calvo,-35.39831,-9.0455,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2707305
GO,Vila Boa,-47.0594,-15.03852,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5222203
RS,Erebango,-52.30248,-27.85554,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4306973
GO,Anápolis,-48.95342,-16.32752,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5201108
PA,Nova Floresta,-36.20331,-6.45548,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2510105
RN,Macaíba,-35.3543,-5.85848,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2407104
GO,Aragoiânia,-49.45142,-16.91252,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5201801
PI,Olho d&apos,Água do Piauí,-42.57536,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2207108
CE,Frecheirinha,-40.81635,-3.76046,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2304509
SP,Elias Fausto,-47.37442,-23.04355,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3514908
MG,São José do Mantimento,-41.74537,-20.00555,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3163607
PA,Santa Izabel do Oeste,-53.48448,-25.82153,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4123808
BA,Rio de Contas,-41.81136,-13.57952,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2926707
PI,Várzea Grande,-42.24636,-6.54548,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2211407
PA,Pacajá,-50.63841,-3.83846,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1505486
BA,Baianópolis,-44.53538,-12.30651,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2902500
SC,Salete,-50.00046,-26.98055,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4215307
RS,São José do Norte,-52.0425,-32.01555,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4318507
MG,Rio Pardo de Minas,-42.54037,-15.61053,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3155603
SP,Várzea Paulista,-46.82842,-23.21155,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3556503
SE,Propriá,-36.84032,-10.21151,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2805703
BA,Ubaitaba,-39.32334,-14.31353,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2932200
SP,Descalvado,-47.61942,-21.90454,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3513702
RS,Vale do Sol,-52.68349,-29.60454,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4322533
